,mR,mG,mB,stdR,stdG,stdB,varR,varG,varB,Dc1,Dc2,Dc3,De1,De2,De3,ID
104,189.402359613,162.312608575,40.3559419087,70.3984633105,77.7999957818,60.8951177989,4955.94363648,6052.83934365,3708.21537175,0.154370696057,0.97182506969,0.902123956123,29939.6132407,105239.866733,92574.8861679,21367.0
105,72.9091866667,66.1453013333,65.8800106667,60.4694847638,54.2312848166,45.0218498942,3656.55858761,2941.03225286,2026.96696789,0.0630235593389,0.133156475604,0.0344748703347,13665.8749811,19490.9778872,9744.830527,13917.0
106,131.21352,81.434136,54.5066693333,88.2365567091,79.5596630666,70.2342562822,7785.68993988,6329.73998727,4932.85075552,0.124261072934,0.313967534803,0.115372737173,40146.2261365,61541.0873238,28071.8792388,12775.0
107,121.608516499,116.995041607,136.917053085,69.3335885386,61.7716663105,78.3286861128,4807.14649964,3815.73875877,6135.38306816,0.104048231825,0.556419757732,0.2291999639,18383.2801752,47075.1559849,31730.2977452,12805.0
108,107.203610667,83.2725386667,85.9648853333,82.8879197875,90.1674966419,87.7854677664,6870.4072467,8130.17745068,7706.28835096,0.14139641067,0.135605463451,0.0101498915004,32050.1035568,30301.5863611,8068.54100814,28498.0
109,198.359786382,162.909428571,160.271121495,76.1736470728,72.3627803206,74.3595355363,5802.42450837,5236.37197572,5529.34052518,0.0422970410008,0.0671303696344,0.0106706877366,25509.0278725,28798.2378801,6863.35369918,25774.0
110,117.911346667,85.1924346667,59.230656,117.884481147,97.6345526589,79.8089496599,13896.7508953,9532.5058729,6369.46844581,0.0827375526079,0.227342528942,0.0832594955185,35629.0199977,58643.9068702,29299.9608703,13665.0
111,169.233509934,155.793403974,100.908137748,88.2515565868,87.4881991145,81.6794410798,7788.33724,7654.18498431,6671.5310951,0.0562976692253,0.592543143588,0.47653083293,19914.5185229,70734.7470201,60999.2169786,22726.0
112,214.862808,209.698666667,205.580616,45.2127597,56.943068629,66.4863064979,2044.19363969,3242.51306489,4420.42895173,0.0503527117142,0.125401188008,0.0230408541056,12602.6780091,22016.8304713,10292.4860457,16229.0
113,201.722421333,185.977586667,181.465272,68.5736389833,85.8145464377,89.3706978935,4702.34396342,7364.13638031,7987.12164197,0.129144199666,0.0940045363106,0.0149439131793,27828.1109132,27352.4116853,9916.38946391,24798.0
114,111.774827489,113.938720898,103.293579243,76.2127786236,74.3986737975,74.6391711888,5808.38762553,5535.16266282,5571.00587574,0.00462166955545,0.0152744354795,0.00825970960168,4639.7217589,9406.24925249,8551.12630008,29436.0
115,121.323109333,129.309968,160.790693333,89.8681325519,81.0529779003,75.6555298974,8076.28124836,6569.58522651,5723.75920405,0.0993172189523,0.459458982887,0.20340946464,24405.6803224,54797.6880717,36305.0890372,26990.0
116,113.406552,67.3367013333,65.297744,87.6641211489,68.7866331604,65.2912699359,7684.9981368,4731.60090155,4262.94992984,0.532962099783,0.556158274009,0.0205146807748,57792.0017823,58677.838994,8674.19904083,29228.0
117,172.084685333,130.663098667,103.185741333,83.4827001903,93.0747238235,97.7919950038,6969.36123106,8662.90421482,9563.27428682,0.20566176194,0.282186418397,0.051308164883,43317.6856607,59872.7596658,25332.3003496,28757.0
118,174.470862434,155.141484127,148.516410053,78.6651418516,81.316553439,80.9514784811,6188.20454254,6612.38186319,6553.14186828,0.13418145339,0.162343710309,0.00273061890394,28156.4247553,32220.6941111,5498.21607433,20540.0
